hhid,areaid,treatment,hh_edu,hh_gender,hh_size,children,old_biz,area_pop_base,area_debt_total_base,area_business_total_base,area_exp_pc_mean_base,area_literate_head_base,area_literate_base,anyloan_amt_2,informal_amt_2,female_biz_pct_2,hours_week_2,durables_exp_mo_2,temptation_exp_mo_2,total_exp_mo_2,bizprofit_2,bizrev_2,bizemployees_2,girls_school_2,bizassets_2
2482,38,0,1.0,1.0,2.0,2.0,0.0,0,2,3,1,1,0,6050.0,0.0,,105.0,242.9522,1665.9579,6016.4683,0.0,0.0,0.0,0.0,0.0
2483,38,0,0.0,1.0,1.0,1.0,0.0,0,2,3,1,1,0,29000.0,16659.578571303864,1.0,7.0,0.0,499.78735,3116.174,0.0,0.0,0.0,,0.0
2484,38,0,1.0,1.0,2.0,2.0,0.0,0,2,3,1,1,0,10000.0,0.0,,59.0,27.765963,24.989368,2596.1177,0.0,0.0,0.0,1.0,0.0
2485,38,0,0.0,1.0,2.0,3.0,0.0,0,2,3,1,1,0,96000.0,24989.367856955796,,61.0,256.83517,0.0,8900.658,0.0,0.0,0.0,1.0,0.0
2486,38,0,1.0,1.0,2.0,0.0,0.0,0,2,3,1,1,0,25000.0,16659.578571303864,,94.0,236.0107,583.08527,5043.1323,0.0,0.0,0.0,,0.0
2487,38,0,0.0,1.0,3.0,2.0,0.0,0,2,3,1,1,0,30000.0,16659.578571303864,,32.0,31.23671,0.0,2755.7717,0.0,0.0,0.0,,0.0
2488,38,0,0.0,1.0,1.0,0.0,0.0,0,2,3,1,1,0,4000.0,0.0,0.0,0.0,392.19424,441.47882,5569.1587,0.0,0.0,0.0,,0.0
2489,38,0,1.0,1.0,3.0,3.0,0.0,0,2,3,1,1,0,92000.0,72469.16678517181,,108.0,124.94684,749.681,5401.0356,0.0,0.0,0.0,0.0,2915.4263
2490,38,0,0.0,1.0,1.0,2.0,0.0,0,2,3,1,1,0,72200.0,7496.810357086739,1.0,102.0,812.1545,29.154263,8613.279,882.95764,3748.4053,0.0,1.0,0.0
2491,38,0,0.0,1.0,2.0,2.0,1.0,0,2,3,1,1,0,195000.0,91627.68214217125,0.0,76.0,0.0,1499.362,4731.598,2785.4814,9995.747,0.0,0.5,0.0
2492,38,0,0.0,1.0,2.0,3.0,1.0,0,2,3,1,1,0,104000.0,74968.10357086739,1.0,48.0,83.29789,249.89368,5437.6865,7580.1084,8329.789,0.0,0.5,40399.477
2493,38,0,0.0,1.0,1.0,2.0,1.0,0,2,3,1,1,0,160000.0,99957.47142782318,,30.0,475.49216,249.89368,22240.676,0.0,0.0,0.0,,0.0
2494,38,0,0.0,1.0,3.0,3.0,1.0,0,2,3,1,1,0,79400.0,1665.9578571303864,0.0,168.0,492.84586,666.3831,11636.4375,9279.386,64156.035,0.0,1.0,53310.652
2495,38,0,1.0,1.0,2.0,3.0,1.0,0,2,3,1,1,0,0.0,0.0,0.0,108.0,312.3671,999.5747,9728.638,9079.471,11245.216,0.0,,0.0
2496,38,0,0.0,1.0,3.0,3.0,1.0,0,2,3,1,1,0,26000.0,0.0,0.0,120.0,173.53728,832.97894,5654.816,2582.2346,3165.3198,0.0,,0.0
2497,38,0,1.0,1.0,2.0,0.0,0.0,0,2,3,1,1,0,25000.0,0.0,,57.0,347.07455,499.78735,7753.924,0.0,0.0,0.0,0.0,0.0
2498,38,0,0.0,1.0,2.0,2.0,1.0,0,2,3,1,1,0,15000.0,0.0,0.0,0.0,832.97894,333.19156,10698.366,42481.926,42481.926,0.0,1.0,2165.745
2499,38,0,0.0,1.0,1.0,2.0,0.0,0,2,3,1,1,0,0.0,0.0,1.0,58.0,520.6118,333.19156,6953.986,433.14905,516.44696,0.0,1.0,2998.724
