,n_per_pol,sim_num,num_pools,MSE,IOU,min_dosage,best_pol_diff
1040,100,17,6,0.975892492631038,1.0,True,0.046992303534251434
1041,100,17,8,0.9746617774995039,0.5,False,0.04366470961725177
1042,100,17,9,0.9758530197232145,1.0,True,0.046992303534251434
1043,100,17,9,0.975678415292009,1.0,True,0.046992303534251434
1044,100,18,4,1.3484892326642635,0.6666666666666666,True,0.5148558044678486
1045,100,18,6,1.3479487776281605,0.6666666666666666,True,0.5148558044678486
1046,100,18,6,1.3483624090671278,0.6666666666666666,True,0.5148558044678486
1047,100,18,6,1.259876787229695,0.5,True,-0.12801174039221674
1048,100,18,6,0.974834316653733,1.0,True,-0.025579954054490095
1049,100,18,8,0.9720124250771027,0.5,True,-0.12801174039221674
1050,100,18,9,0.9731007924133606,1.0,True,-0.025579954054490095
1051,100,18,9,0.9733457420442407,1.0,True,-0.025579954054490095
1052,100,19,4,1.2823906633844677,0.6666666666666666,True,0.46988911366426045
1053,100,19,6,1.2818535823113506,0.6666666666666666,True,0.46988911366426045
1054,100,19,6,1.277648052069587,0.6666666666666666,True,0.46988911366426045
1055,100,19,6,1.1897338392112815,0.5,True,-0.025687197426690567
1056,100,19,6,0.9246660323010895,1.0,True,-0.046770650364558186
1057,100,19,8,0.924474557012945,0.5,False,-0.0678541033024267
1058,100,19,9,0.9228489446678411,1.0,True,-0.046770650364558186
1059,100,19,9,0.9187836442854638,1.0,True,-0.046770650364558186
1060,100,20,4,1.351478070344895,0.6666666666666666,True,0.43260823985848784
1061,100,20,6,1.3513457436696188,0.6666666666666666,True,0.43260823985848784
1062,100,20,6,1.351407295104238,0.6666666666666666,True,0.43260823985848784
1063,100,20,6,1.2670982739019705,0.5,True,-0.005497364310143915
1064,100,20,6,0.9927719260872627,1.0,True,-0.03397547305075932
1065,100,20,8,0.9926297442220064,0.5,False,-0.062453581791373836
1066,100,20,9,0.9926003646853624,1.0,True,-0.03397547305075932
1067,100,20,9,0.9927009674755694,1.0,True,-0.03397547305075932
1068,100,21,4,1.4077972912338714,0.6666666666666666,True,0.46040917366058753
1069,100,21,6,1.3028012764128796,0.5,True,-0.07558861301376751
1070,100,21,6,1.0422587538575363,1.0,True,-0.05062860377176115
1071,100,21,8,1.0416071229102435,0.5,True,-0.07558861301376751
1072,100,21,9,1.0342550586361074,1.0,True,-0.05062860377176115
1073,100,21,9,1.0385476713100181,1.0,True,-0.05062860377176115
1074,100,22,4,1.3444659455030632,0.6666666666666666,True,0.5144972915915282
1075,100,22,6,1.3443678768241585,0.6666666666666666,True,0.5144972915915282
1076,100,22,6,1.342342288215674,0.6666666666666666,True,0.5144972915915282
1077,100,22,6,1.2304237180293613,0.5,True,-0.03695037356995812
1078,100,22,6,0.9446194547822357,1.0,True,0.03567671632998515
1079,100,22,8,0.9437570799901711,0.5,True,-0.03695037356995812
1080,100,22,9,0.9444054600245165,1.0,True,0.03567671632998515
1081,100,22,9,0.9417481798846147,1.0,True,0.03567671632998515
1082,100,23,4,1.4033654445896162,0.6666666666666666,True,0.5634572780988547
1083,100,23,6,1.2997385650464253,0.5,True,-0.029456556317538407
1084,100,23,6,1.0273522789893768,1.0,True,0.06840547132160157
1085,100,23,8,1.0261545538560761,0.5,True,-0.029456556317538407
1086,100,23,9,1.024713820118318,1.0,True,0.06840547132160157
1087,100,23,9,1.0265903958246583,1.0,True,0.06840547132160157
1088,100,24,4,1.395989305902995,0.6666666666666666,True,0.35772590483907596
1089,100,24,6,1.3932837911393507,0.6666666666666666,True,0.35772590483907596
1090,100,24,6,1.3945318140099396,0.6666666666666666,True,0.35772590483907596
1091,100,24,6,1.3161108169406788,0.5,True,-0.03529453896392365
1092,100,24,6,0.9976098311822084,1.0,True,-0.16237108823331337
1093,100,24,8,0.9952179671782195,0.5,False,-0.2894476375027031
1094,100,24,9,0.9948941020103689,1.0,True,-0.16237108823331337
1095,100,24,9,0.9959610707113968,1.0,True,-0.16237108823331337
1096,100,25,4,1.40369113816329,0.6666666666666666,True,0.42068087219112726
1097,100,25,6,1.2935872280809506,0.5,True,-0.07089321961043193
1098,100,25,6,0.9832900235624435,1.0,True,-0.047905471678766354
1099,100,25,8,0.9831905852112252,0.5,True,-0.07089321961043193
1100,100,25,9,0.9824644279208548,1.0,True,-0.047905471678766354
1101,100,25,9,0.980124441124439,1.0,True,-0.047905471678766354
1102,100,26,4,1.3788660395576113,0.6666666666666666,True,0.42000457174890027
1103,100,26,6,1.3783459421425368,0.6666666666666666,True,0.42000457174890027
1104,100,26,6,1.3788279364669982,0.6666666666666666,True,0.42000457174890027
1105,100,26,6,1.2774058541634858,0.5,True,-0.11010002853180456
1106,100,26,4,1.5504793670820818,0.6666666666666666,True,0.8813042736384906
1107,100,26,6,0.9573986848827037,1.0,True,-0.08953594284520161
1108,100,26,8,0.9571965925338395,0.5,True,-0.11010002853180456
1109,100,26,9,0.9562932008265971,1.0,True,-0.08953594284520161
1110,100,26,9,0.9573456078561113,1.0,True,-0.08953594284520161
1111,100,27,4,1.3937382866315153,0.6666666666666666,True,0.5093277395246041
1112,100,27,6,1.3908331999495107,0.6666666666666666,True,0.5093277395246041
1113,100,27,6,1.3928022068155588,0.6666666666666666,True,0.5093277395246041
1114,100,27,6,1.297352487309309,0.5,True,0.019130227578000536
1115,100,27,6,1.006822571217632,1.0,True,0.004787590684957266
1116,100,27,8,1.0067923641210281,0.5,False,-0.009555046208086004
1117,100,27,9,1.003895952291508,1.0,True,0.004787590684957266
1118,100,27,9,1.005664069507214,1.0,True,0.004787590684957266
1119,100,28,4,1.3613310447192821,0.6666666666666666,True,0.3801407339933469
1120,100,28,6,1.3595242076915195,0.6666666666666666,True,0.3801407339933469
1121,100,28,6,1.3607378248249813,0.6666666666666666,True,0.3801407339933469
1122,100,28,6,1.2551264088991374,0.5,True,-0.0895068166416193
1123,100,28,6,0.9918327503305758,1.0,True,-0.10339467624725529
1124,100,28,8,0.9908355752394121,0.5,False,-0.11728253585289039
1125,100,28,9,0.989696804190763,1.0,True,-0.10339467624725529
1126,100,28,9,0.991126498701731,1.0,True,-0.10339467624725529
1127,100,29,4,1.3955987339846305,0.6666666666666666,True,0.5695928360340776
1128,100,29,6,1.3939538931477835,0.6666666666666666,True,0.5695928360340776
1129,100,29,6,1.3944421914896785,0.6666666666666666,True,0.5695928360340776
1130,100,29,6,1.3216799075328647,0.5,True,0.024437372006604896
1131,100,29,6,1.0251429793333313,1.0,True,0.030574022354048935
1132,100,29,8,1.0228883887132454,0.5,True,0.024437372006604896
1133,100,29,9,1.0230098622994372,1.0,True,0.030574022354048935
1134,100,29,9,1.023971972154321,1.0,True,0.030574022354048935
1135,100,30,4,1.338395098857122,0.6666666666666666,True,0.47771835909658833
1136,100,30,6,1.337919346279062,0.6666666666666666,True,0.47771835909658833
1137,100,30,6,1.3355721250558241,0.6666666666666666,True,0.47771835909658833
1138,100,30,6,1.2432749651325026,0.5,True,-0.027288006958880118
1139,100,30,4,1.5852006667706475,0.6666666666666666,True,0.9717593133601454
1140,100,30,6,0.9547426123656169,1.0,True,0.006376102741467271
