,n_per_pol,sim_num,MSE,IOU,min_dosage,best_pol_diff,"(0, 0, 0)","(0, 0, 1)","(0, 1, 0)","(0, 1, 1)","(1, 0, 0)","(1, 0, 1)","(1, 1, 0)","(1, 1, 1)"
97,10,97,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
98,10,98,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
99,10,99,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
100,100,0,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
101,100,1,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
102,100,2,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
103,100,3,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
104,100,4,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
105,100,5,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
106,100,6,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
107,100,7,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
108,100,8,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
109,100,9,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
110,100,10,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
111,100,11,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
112,100,12,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
113,100,13,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
114,100,14,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
115,100,15,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
116,100,16,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
117,100,17,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
118,100,18,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
119,100,19,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
120,100,20,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
121,100,21,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
122,100,22,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
123,100,23,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
124,100,24,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
125,100,25,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
126,100,26,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
127,100,27,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
128,100,28,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
129,100,29,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
130,100,30,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
131,100,31,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
132,100,32,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
133,100,33,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
134,100,34,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
135,100,35,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
136,100,36,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
137,100,37,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
138,100,38,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
139,100,39,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
140,100,40,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
141,100,41,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
142,100,42,1.113799041926828,0.5,True,0.03553263045525901,1,0,0,0,0,1,0,0
