,n_per_pol,sim_num,MSE,L1_loss,IOU,min_dosage,best_pol_diff,"(0, 0, 0)","(0, 0, 1)","(0, 1, 0)","(0, 1, 1)","(1, 0, 0)","(1, 0, 1)","(1, 1, 0)","(1, 1, 1)"
108,100,8,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
109,100,9,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
110,100,10,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
111,100,11,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
112,100,12,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
113,100,13,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
114,100,14,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
115,100,15,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
116,100,16,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
117,100,17,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
118,100,18,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
119,100,19,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
120,100,20,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
121,100,21,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
122,100,22,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
123,100,23,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
124,100,24,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
125,100,25,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
126,100,26,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
127,100,27,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
128,100,28,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
129,100,29,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
130,100,30,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
131,100,31,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
132,100,32,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
133,100,33,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
134,100,34,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
