,n_per_pol,sim_num,MSE,IOU,min_dosage,best_pol_diff
170,100,70,1.0130463037457877,1.0,True,-0.06683287975288899
171,100,71,1.0130463037457877,1.0,True,-0.06683287975288899
172,100,72,1.0130463037457877,1.0,True,-0.06683287975288899
173,100,73,1.0130463037457877,1.0,True,-0.06683287975288899
174,100,74,1.0130463037457877,1.0,True,-0.06683287975288899
175,100,75,1.0130463037457877,1.0,True,-0.06683287975288899
176,100,76,1.0130463037457877,1.0,True,-0.06683287975288899
177,100,77,1.0130463037457877,1.0,True,-0.06683287975288899
178,100,78,1.0130463037457877,1.0,True,-0.06683287975288899
179,100,79,1.0130463037457877,1.0,True,-0.06683287975288899
180,100,80,1.0130463037457877,1.0,True,-0.06683287975288899
181,100,81,1.0130463037457877,1.0,True,-0.06683287975288899
182,100,82,1.0130463037457877,1.0,True,-0.06683287975288899
183,100,83,1.0130463037457877,1.0,True,-0.06683287975288899
184,100,84,1.0130463037457877,1.0,True,-0.06683287975288899
185,100,85,1.0130463037457877,1.0,True,-0.06683287975288899
186,100,86,1.0130463037457877,1.0,True,-0.06683287975288899
187,100,87,1.0130463037457877,1.0,True,-0.06683287975288899
188,100,88,1.0130463037457877,1.0,True,-0.06683287975288899
189,100,89,1.0130463037457877,1.0,True,-0.06683287975288899
190,100,90,1.0130463037457877,1.0,True,-0.06683287975288899
191,100,91,1.0130463037457877,1.0,True,-0.06683287975288899
192,100,92,1.0130463037457877,1.0,True,-0.06683287975288899
193,100,93,1.0130463037457877,1.0,True,-0.06683287975288899
194,100,94,1.0130463037457877,1.0,True,-0.06683287975288899
195,100,95,1.0130463037457877,1.0,True,-0.06683287975288899
196,100,96,1.0130463037457877,1.0,True,-0.06683287975288899
197,100,97,1.0130463037457877,1.0,True,-0.06683287975288899
198,100,98,1.0130463037457877,1.0,True,-0.06683287975288899
199,100,99,1.0130463037457877,1.0,True,-0.06683287975288899
200,1000,0,1.0016800438934994,1.0,True,-0.03704560447547145
201,1000,1,1.0016800438934994,1.0,True,-0.03704560447547145
